timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1682403372049,60267,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403372049,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403373054,73306,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403373054,47784,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403373054,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403374059,74444,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403374059,41907,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403374059,2000,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403375073,75963,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403375073,50223,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403375073,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403376086,77099,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403376086,42613,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403376086,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403377086,77824,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403377086,54572,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403377086,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403378092,77912,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403378092,61160,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403378092,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403379095,78184,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403379095,37874,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403379095,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403380096,78518,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403380096,57388,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403380096,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403381105,78425,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403381105,50980,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403381105,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403382114,78767,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403382114,46182,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403382114,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403383117,78809,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403383117,41419,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403383117,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403384120,78901,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403384120,36240,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403384120,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403385130,79054,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403385130,43859,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403385130,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403386133,79242,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403386133,33800,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403386133,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403387136,79220,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403387136,40432,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403387136,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403388152,79154,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403388152,42127,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403388152,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403389161,79163,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403389161,46882,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403389161,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403390164,79405,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403390164,50675,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403390164,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403391166,79372,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403391166,38695,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403391166,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403392175,79513,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403392175,42461,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403392175,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403393177,78536,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403393177,48557,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403393177,1000,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403394179,79022,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403394179,43581,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403394179,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403395182,79142,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403395182,34059,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403395182,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403396185,78431,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403396185,41255,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403396185,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403397205,78846,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403397205,45216,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403397205,6000,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403398210,79057,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403398210,50085,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403398210,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403399223,78691,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403399223,47255,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403399223,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403400226,78605,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403400226,36255,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403400226,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403401228,78615,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403401228,36507,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403401228,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403402237,78497,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403402237,44928,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403402237,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403403242,78671,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403403242,59950,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403403242,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403404253,78583,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
